SIEC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Industrial waste (non-renewable),4.299,4.299,4.299,3.525,5.417,10.146,14.703,22.270,22.614,23.990,23.560,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.095,0.946,0.000
Kerosene-type jet fuel (excluding biofuel portion),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lignite,1 014.101,923.904,896.217,866.466,707.653,664.660,616.767,533.878,586.672,586.500,533.964,551.935,563.629,507.739,515.133,465.778,387.016,376.526,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Liquefied petroleum gases,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lubricants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor gasoline (excluding biofuel portion),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naphtha,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Natural gas,64.746,61.823,81.943,13.586,20.206,24.936,64.058,594.067,209.028,223.474,310.920,372.915,899.828,1 515.907,2 719.261,4 605.589,5 786.414,5 950.387,7 929.321,6 852.451,5 620.378,4 617.455,3 508.169,2 270.163,2 003.353,2 389.080,2 363.285,3 142.734,2 536.801,4 653.396,3 629.063
Natural gas liquids,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nuclear heat,4 666.208,4 778.848,4 796.389,4 820.292,4 756.062,4 768.272,4 843.508,4 754.772,5 072.485,5 060.361,5 348.753,5 477.902,5 418.401,5 320.292,5 469.132,4 947.463,5 169.905,4 738.005,5 070.765,4 536.629,5 330.181,4 962.855,5 285.469,4 877.558,4 927.343,4 917.971,5 041.531,4 990.456,4 795.013,5 017.111,5 012.812
Oil shale and oil sands,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Other bituminous coal,3 632.674,3 643.336,4 116.079,3 971.883,4 031.986,4 467.326,3 588.048,4 361.479,4 383.319,5 338.349,5 748.581,5 120.292,5 936.543,5 513.844,5 098.366,5 184.523,4 380.138,4 883.233,3 424.592,2 578.332,1 987.790,2 721.754,3 697.248,2 820.722,3 092.347,3 679.106,2 663.371,3 427.257,2 942.304,982.717,419.003
Other kerosene,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Other liquid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Other recovered gases,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
