SIEC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lignite,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Liquefied petroleum gases,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lubricants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor gasoline (excluding biofuel portion),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naphtha,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Natural gas,388.736,468.100,506.707,501.548,621.582,734.480,779.966,835.168,971.023,"1,337.059",972.485,951.677,"1,046.260","1,336.371","1,161.883","1,185.391","1,112.855","1,281.393","1,188.779","1,521.548","1,586.698","1,176.457",944.136,833.508,805.314,957.739,924.738,"1,006.148","1,040.034","1,141.625","1,218.194"
Natural gas liquids,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nuclear heat,"3,673.431","3,685.383","3,736.543","3,605.073","3,493.035","3,555.976","3,726.225","4,076.354","3,969.475","4,214.703","4,140.757","3,985.297","4,072.227","4,073.861","4,068.100","4,092.433","4,010.748","4,146.776","3,918.143","4,060.361","4,122.442","4,147.377","3,464.746","3,666.724","2,897.936","2,244.454","3,742.304","3,630.851","2,458.899","3,742.356","2,960.851"
Oil shale and oil sands,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Other bituminous coal,793.293,726.913,738.607,801.548,835.770,828.031,785.555,678.762,"1,131.900",786.242,"1,039.811",811.178,832.760,795.615,755.030,695.443,577.988,546.862,467.068,435.340,352.107,289.338,283.147,251.849,172.537,170.387,25.804,0.000,0.000,0.000,0.000
