SIEC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kerosene-type jet fuel (excluding biofuel portion),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lignite,"12,871.711","12,065.864","12,080.739","11,666.036","11,682.545","11,515.821","11,804.127","11,645.056","11,566.638","11,510.490","12,914.273","13,050.559","14,052.021","12,962.425","12,917.283","12,600.000","12,341.702","12,666.466","12,289.252","11,929.063","11,811.350","12,171.367","12,961.393","13,058.727","12,716.509","12,565.778","12,160.275","12,082.029","11,871.023","9,208.340","7,415.047"
Liquefied petroleum gases,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lubricants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor gasoline (excluding biofuel portion),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naphtha,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Natural gas,"2,166.982","2,016.681","1,673.345","1,677.214","1,863.629","2,024.334","2,518.831","2,709.888","3,082.889","3,206.449","3,100.516","3,418.745","3,383.147","1,629.923","1,463.543","1,906.363","1,870.765","2,163.972","2,880.997","2,424.506","2,868.874","2,700.516","1,929.837","1,295.873",793.895,700.860,"1,561.651","1,666.380","1,541.788","2,193.895","2,611.264"
Natural gas liquids,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nuclear heat,"13,015.649","12,578.160","13,558.899","13,097.334","12,873.517","13,085.727","13,667.326","14,541.015","13,795.271","14,512.640","14,583.491","14,729.579","14,173.861","14,192.605","14,365.004","14,020.206","14,382.545","12,083.749","12,768.272","11,602.064","12,085.641","9,283.835","8,552.021","8,365.434","8,351.591","7,892.175","7,277.214","6,562.683","6,535.254","6,454.944","5,535.856"
Oil shale and oil sands,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Other bituminous coal,"5,891.831","6,515.993","6,231.298","6,255.976","6,091.660","6,217.713","7,759.415","7,274.463","8,263.887","7,628.633","8,342.734","8,232.330","7,803.267","6,496.131","5,976.698","6,124.420","6,818.831","6,796.389","6,095.701","5,601.548","6,542.562","6,126.655","6,472.829","8,803.783","7,886.586","8,357.696","7,601.204","5,546.690","4,994.067","3,828.117","2,657.696"
Other kerosene,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Other liquid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.290,1.720,4.213,6.449,1.290,7.825,11.866,17.111,22.356,8.856,1.290,0.344,1.462,2.752,5.245,2.837,2.322,0.344,0.258,0.258
Other recovered gases,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.267,2.752,2.580,3.267,1.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.860,1.290,0.172
Paraffin waxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patent fuel,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Peat,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
